,"('Sex and Age', '10 to 14 years')","('Sex and Age', '45 to 54 years')","('Place of Birth', 'State of residence')","('Residence 1 Year Ago', 'Abroad')","('Occupation', 'Civilian employed population 16 years and over')","('Occupation', 'Management, business, science, and arts occupations')","('Occupation', 'Natural resources, construction, and maintenance occupations')",Civilian employed population 16 years and over,Information,"Finance and insurance, and real estate and rental and leasing","Professional, scientific, and management, and administrative and waste management services",Private wage and salary workers,"$25,000 to $34,999","$35,000 to $49,999","$150,000 to $199,000","$200,000 or more",Median household income (dollars),Mean household income (dollars),With private health insurance,With public coverage,Civilian noninstitutionalized population under 19 years,Population 25 years and over,High school graduate (includes equivalency),"Some college, no degree",Bachelor's degree,Graduate or professional degree,Percent bachelor's degree or higher,Asian,value_price
14,7.073009234,14.11674626,49.66471178,0.945786336,51.60907669,26.95497449,3.309421305,51.60907669,1.7679647,3.403117938,10.96825819,42.61624518,1.089974332,1.640266288,4.501145323,8.749066868,15.98058064,20.24486394,78.96836556,25.54492325,24.00154925,70.35811799,12.98164927,11.8237992,20.48543292,13.30735052,4800,37.11779955,888000
15,8.94945509,10.41834849,65.39051878,0.30232941,38.87382627,8.669299159,7.731507053,38.87382627,0.290512407,1.121420377,3.306371091,29.5034734,3.374219281,4.042610257,1.235872706,1.10203518,6.69200905,9.09112636,44.05179831,53.57895883,31.19981093,59.74703645,14.75545441,13.51772285,5.685041001,2.226907716,1320,9.270373046,262400
16,5.074134841,13.59309517,37.48613253,1.987681511,56.03318832,34.78929665,2.607906957,56.03318832,2.944647757,2.047642119,14.72538927,48.81248901,1.006806921,1.474221366,5.127643991,11.33812091,18.68025942,23.17287757,81.87203597,20.99152582,20.83960031,72.35980413,9.235072149,8.717184533,21.97581589,21.55318215,6020,55.60233214,1137100
17,7.136186234,14.32278332,46.38169502,1.559950438,50.44719729,33.30750883,2.263977734,50.44719729,2.778301048,2.92555379,12.43781557,42.49581457,1.293966883,2.136889332,4.235174567,13.74186462,19.81610653,29.13946029,82.42465568,23.11257804,24.03337198,70.06232373,7.585108105,8.848430498,21.84182668,24.25226119,6580,24.44634296,1588400
18,7.083596033,13.19761096,50.21985397,0.80063997,52.28904391,22.52245656,4.42324771,52.28904391,1.303395771,2.081528334,9.095975106,42.8729484,1.746900147,2.240571634,4.005911584,7.037767699,14.5403269,19.52585301,68.45464961,33.41739714,22.85884738,68.91306853,13.04046588,12.9417587,16.38430719,9.207563031,3710,30.99351217,894400
19,6.970659362,11.37930384,58.49646419,0.402378956,46.52228654,15.75249583,8.488510969,46.52228654,0.549850506,1.859300818,5.040183975,35.28870185,2.146695101,3.310965467,2.732267692,3.903278074,10.84616857,14.76697069,60.15181212,40.03084231,26.08049197,64.12289476,12.34056492,11.98873609,11.23371949,7.817340174,2970,5.823913038,666600
20,8.958270501,11.38088449,64.31757739,0.553560168,36.18457489,6.804211334,10.73849149,36.18457489,0.165190689,0.693526718,2.411921147,29.05107888,3.458448715,3.779508129,1.144819455,0.663641598,6.311106846,8.437611384,37.91462178,53.04266169,32.27990568,58.24157596,15.31831766,11.37512681,4.46933348,1.741973515,1070,3.167000247,214400
21,8.261749968,10.78659985,70.1000238,0.141237611,43.44565148,15.66033785,5.822474988,43.44565148,0.503955563,1.827245333,3.597787538,32.32364481,3.036998792,4.085226364,2.719149141,1.92907687,8.652689432,11.18365181,58.11303431,45.34897785,30.0193649,62.15339237,13.83699411,15.33429486,9.931240953,5.326062501,2450,8.351746677,298300
22,7.98131499,11.2416173,69.25415039,0.509468591,40.85822128,14.71498482,5.572329571,40.85822128,0.566780436,1.590167715,3.857154608,29.27394657,2.683812573,3.751026556,2.896068677,2.110154715,8.569806502,11.47922547,59.29267743,43.11374581,27.61958959,65.10895319,17.14595102,17.09511204,9.820148687,4.579149007,2210,4.995300429,264300
23,6.355609857,10.65031467,61.00661339,0.769686606,48.0251355,18.577029,6.108268707,48.0251355,0.799383817,2.251835057,6.080063137,36.60011689,2.211560758,4.283720911,2.894325392,4.049262112,10.34764721,14.45779538,65.71707915,36.9376345,21.94678097,64.61123097,12.11551266,14.53508949,13.95185797,9.125044241,3570,5.039982751,624900
24,8.392945814,13.96844561,66.61390446,0.248974545,45.23964843,17.46173929,4.369850991,45.23964843,1.767719268,3.036933079,4.994791007,34.91082121,1.77077929,3.140834746,3.356427229,3.657978521,11.77691324,15.17673715,71.86712827,31.37746906,26.87589801,65.29100117,15.45881558,15.43628268,12.22409378,6.207533497,2820,8.615353801,496700
25,7.487853791,12.55087625,59.46260346,0.364420738,48.79750805,17.71051707,6.108733555,48.79750805,1.123860324,3.14485173,5.71716044,38.13434224,1.722453086,2.910128388,3.644896525,4.378562027,12.62544192,16.60870944,63.61388493,36.04030129,24.40323348,67.6824688,13.94529554,14.10283446,14.96440558,8.846988774,3520,6.667217984,631200
26,5.552461268,14.20390217,47.51319827,0.855940728,51.17798825,25.58955531,2.404378331,51.17798825,1.565693907,3.652023126,7.22421831,38.75415098,1.824398169,2.532888691,3.759489213,5.204809879,12.73767753,17.06746654,66.91349261,33.73775749,19.59642696,73.64527493,13.46651085,11.41904338,20.023766,13.75313384,4590,39.32753727,770100
27,4.606237713,13.07660908,38.10174254,0.682389561,55.97945475,29.10692212,2.645756016,55.97945475,6.410509751,3.281268255,9.249400331,43.76913857,2.784657125,4.253720256,3.269008033,5.562535068,10.73577201,15.51293165,64.20606405,33.58536504,16.13286619,78.15877421,13.50715925,12.25200094,24.82767175,12.7578433,4810,15.08166029,882900
28,6.440245298,12.94639933,47.74579571,0.746733476,51.1031005,15.02315166,6.15793852,51.1031005,2.217487693,2.403648529,6.084923341,39.68820847,2.416467988,3.811280845,1.77716715,1.775773731,8.49567831,11.09956121,45.88084313,45.34507336,24.16258975,66.91158336,15.80848286,12.10951162,11.63365888,3.287633821,2230,7.39599169,565000
29,5.350612908,14.92378891,45.64433253,0.734233609,54.02061613,26.68147349,3.229449966,54.02061613,4.430137868,4.597925299,8.276160835,43.40681777,2.217882842,3.398284432,3.683601593,6.071365936,11.70847392,16.52457523,68.18137795,33.77252108,19.94092102,73.28017883,12.21092006,14.55130605,21.55374826,11.59735728,4520,12.42608584,717000
30,7.318571717,12.98727666,65.93097445,0.276017283,46.8165122,16.07442381,4.418930539,46.8165122,0.434727221,1.935305795,4.728255677,36.9190367,2.519586611,3.699427795,2.313767954,2.391132414,9.362559317,11.92407932,57.12350181,39.14349714,26.23929106,65.22553797,16.02983641,15.76682378,10.26359651,6.635694343,2590,8.385484676,390400
31,6.52723033,12.80272175,56.39679418,0.396160553,48.89899904,14.91809923,4.744222421,48.89899904,0.977557562,2.499122339,5.599620965,38.74724215,2.252520957,3.392909639,2.290338877,1.849367656,10.15175689,12.43067904,55.47032649,40.96722542,22.17685657,69.31197073,19.13758017,14.25864032,11.1315978,4.347062903,2230,19.20151386,555700
32,5.652443217,13.59367986,46.21470419,1.37162811,51.39322184,33.43860277,1.138501054,51.39322184,4.270870625,4.915699211,10.48261989,40.51353302,1.750796979,2.400171613,4.904618217,11.7290896,16.62319508,26.2129426,81.81424277,25.17857447,20.54771362,72.30831302,6.82944362,10.75538281,28.48582485,19.64191343,6660,16.2981526,1419000
33,5.66008531,12.76488202,43.54160446,0.866251531,51.21294391,17.96841826,4.524671183,51.21294391,2.394793724,2.366713148,7.256294843,40.03838135,3.368573315,4.200306284,1.763734141,2.291375017,7.128767934,10.40200427,41.53363779,44.0510272,20.0996655,70.99139502,14.86078883,9.641637056,15.40582597,6.075129924,3030,20.26664219,688100
34,7.464790759,12.02038075,61.76725609,0.51645016,47.09112619,11.56029677,5.367341361,47.09112619,0.457076047,1.973993092,4.863053739,38.1112493,1.922858118,3.107724781,1.948098655,1.245287016,9.555962717,11.21333747,54.27016268,39.71631206,27.3770897,63.44137068,16.40399507,14.52180952,8.548041374,3.03043381,1830,7.427387683,423700
35,6.499251089,11.10545091,56.43997333,0.894856066,39.87726327,12.25422222,4.300284216,39.87726327,0.491952514,2.084380838,4.190064623,29.87281744,3.148601945,4.555257991,2.384871468,2.482388682,7.770679736,11.23432712,52.78856892,51.09809411,21.39821426,71.73998762,18.38576593,17.59901239,10.8042987,6.556147157,2420,3.920668357,310900
36,5.192266802,13.03477867,49.08405437,0.867967528,53.95737582,24.40613465,3.295359754,53.95737582,3.321393328,3.264010424,10.11860951,41.87766129,2.98309317,3.825163425,3.439430369,4.544971295,9.482899622,14.5583561,58.34355594,37.43709689,19.80691539,70.73158431,11.71837943,13.00274784,16.91023733,11.55113757,4020,9.177175507,828000
37,6.680198434,12.51328928,61.19259349,0.381539073,48.87773859,16.46380844,3.662945431,48.87773859,0.788201813,2.636707522,5.367806221,38.95204502,1.808903998,3.011575339,3.105114866,2.032178165,11.29472048,13.27480607,62.9640249,36.29276878,22.55565886,68.95708395,17.44732192,15.6107393,11.83495028,5.298822594,2480,16.117187,578600
